,ZIP,protected,not_protected,bin
3,11368,0.7559999999999999,0.2440000000000001,"(0.278, 1.0]"
44,11206,0.362,0.6379999999999999,"(0.278, 1.0]"
78,78666,0.434,0.5660000000000001,"(0.278, 1.0]"
83,95823,0.331,0.669,"(0.278, 1.0]"
86,10468,0.7929999999999999,0.207,"(0.278, 1.0]"
88,11204,0.129,0.871,"(0.083, 0.139]"
89,77379,0.216,0.784,"(0.139, 0.278]"
107,93535,0.531,0.469,"(0.278, 1.0]"
111,725,0.98,0.02,"(0.278, 1.0]"
120,11212,0.17,0.83,"(0.139, 0.278]"
152,63376,0.023,0.977,"(0.022, 0.036]"
155,76244,0.161,0.839,"(0.139, 0.278]"
177,77407,0.203,0.7969999999999999,"(0.139, 0.278]"
185,77845,0.133,0.867,"(0.083, 0.139]"
192,95747,0.126,0.874,"(0.083, 0.139]"
201,85326,0.514,0.486,"(0.278, 1.0]"
223,7055,0.7340000000000001,0.2659999999999999,"(0.278, 1.0]"
236,85032,0.288,0.712,"(0.278, 1.0]"
244,11201,0.118,0.882,"(0.083, 0.139]"
246,92407,0.67,0.3299999999999999,"(0.278, 1.0]"
249,19111,0.216,0.784,"(0.139, 0.278]"
263,78045,0.932,0.0679999999999999,"(0.278, 1.0]"
274,11372,0.535,0.4649999999999999,"(0.278, 1.0]"
277,90262,0.883,0.1169999999999999,"(0.278, 1.0]"
278,48197,0.073,0.927,"(0.054, 0.083]"
293,30004,0.098,0.902,"(0.083, 0.139]"
300,21234,0.0409999999999999,0.959,"(0.036, 0.054]"
312,29681,0.067,0.933,"(0.054, 0.083]"
316,84096,0.081,0.919,"(0.054, 0.083]"
321,2148,0.085,0.915,"(0.083, 0.139]"
325,90022,0.966,0.034,"(0.278, 1.0]"
336,92677,0.155,0.845,"(0.139, 0.278]"
362,95608,0.159,0.841,"(0.139, 0.278]"
363,33313,0.113,0.887,"(0.083, 0.139]"
364,32244,0.139,0.861,"(0.083, 0.139]"
369,60619,0.016,0.984,"(0.012, 0.022]"
378,43026,0.048,0.952,"(0.036, 0.054]"
417,91762,0.7040000000000001,0.2959999999999999,"(0.278, 1.0]"
422,10950,0.123,0.877,"(0.083, 0.139]"
430,90019,0.439,0.5609999999999999,"(0.278, 1.0]"
433,22030,0.118,0.882,"(0.083, 0.139]"
437,89123,0.209,0.791,"(0.139, 0.278]"
448,78520,0.934,0.0659999999999999,"(0.278, 1.0]"
463,34744,0.6409999999999999,0.3590000000000001,"(0.278, 1.0]"
470,23320,0.089,0.911,"(0.083, 0.139]"
495,92570,0.7809999999999999,0.219,"(0.278, 1.0]"
503,22554,0.151,0.849,"(0.139, 0.278]"
519,78249,0.509,0.491,"(0.278, 1.0]"
521,27703,0.185,0.815,"(0.139, 0.278]"
527,48044,0.03,0.97,"(0.022, 0.036]"
530,30066,0.098,0.902,"(0.083, 0.139]"
536,11238,0.113,0.887,"(0.083, 0.139]"
539,37040,0.088,0.912,"(0.083, 0.139]"
552,59901,0.035,0.965,"(0.022, 0.036]"
570,78681,0.213,0.787,"(0.139, 0.278]"
574,8527,0.123,0.877,"(0.083, 0.139]"
587,35242,0.033,0.967,"(0.022, 0.036]"
601,78240,0.502,0.498,"(0.278, 1.0]"
609,97301,0.368,0.632,"(0.278, 1.0]"
613,83709,0.074,0.926,"(0.054, 0.083]"
619,17601,0.108,0.892,"(0.083, 0.139]"
631,94109,0.109,0.891,"(0.083, 0.139]"
644,28655,0.083,0.917,"(0.054, 0.083]"
645,91405,0.614,0.386,"(0.278, 1.0]"
659,32225,0.108,0.892,"(0.083, 0.139]"
663,33196,0.818,0.182,"(0.278, 1.0]"
667,55124,0.07,0.93,"(0.054, 0.083]"
674,95350,0.362,0.6379999999999999,"(0.278, 1.0]"
684,90066,0.272,0.728,"(0.139, 0.278]"
694,20020,0.027,0.973,"(0.022, 0.036]"
704,19320,0.107,0.893,"(0.083, 0.139]"
715,23112,0.055,0.945,"(0.054, 0.083]"
730,33161,0.296,0.704,"(0.278, 1.0]"
739,17331,0.072,0.928,"(0.054, 0.083]"
742,1960,0.115,0.885,"(0.083, 0.139]"
743,92056,0.319,0.681,"(0.278, 1.0]"
755,12180,0.076,0.924,"(0.054, 0.083]"
757,91913,0.503,0.497,"(0.278, 1.0]"
758,92840,0.433,0.567,"(0.278, 1.0]"
759,48126,0.015,0.985,"(0.012, 0.022]"
761,28110,0.1939999999999999,0.806,"(0.139, 0.278]"
781,30721,0.46,0.54,"(0.278, 1.0]"
783,20772,0.051,0.949,"(0.036, 0.054]"
792,77498,0.25,0.75,"(0.139, 0.278]"
793,33176,0.622,0.378,"(0.278, 1.0]"
801,48439,0.0289999999999999,0.971,"(0.022, 0.036]"
807,97402,0.155,0.845,"(0.139, 0.278]"
814,1844,0.291,0.709,"(0.278, 1.0]"
824,60004,0.099,0.901,"(0.083, 0.139]"
829,48187,0.04,0.96,"(0.036, 0.054]"
838,85282,0.247,0.753,"(0.139, 0.278]"
841,98387,0.125,0.875,"(0.083, 0.139]"
845,89103,0.36,0.64,"(0.278, 1.0]"
860,85295,0.184,0.8160000000000001,"(0.139, 0.278]"
885,28216,0.1009999999999999,0.899,"(0.083, 0.139]"
890,28205,0.198,0.802,"(0.139, 0.278]"
892,54601,0.02,0.98,"(0.012, 0.022]"
894,40601,0.038,0.962,"(0.036, 0.054]"
916,37087,0.05,0.95,"(0.036, 0.054]"
922,89119,0.389,0.611,"(0.278, 1.0]"
925,92025,0.55,0.4499999999999999,"(0.278, 1.0]"
932,78758,0.485,0.515,"(0.278, 1.0]"
936,92028,0.418,0.5820000000000001,"(0.278, 1.0]"
938,90024,0.1369999999999999,0.863,"(0.083, 0.139]"
944,90630,0.196,0.804,"(0.139, 0.278]"
1017,75060,0.6809999999999999,0.319,"(0.278, 1.0]"
1030,91306,0.489,0.511,"(0.278, 1.0]"
1043,92064,0.1689999999999999,0.831,"(0.139, 0.278]"
1057,53511,0.186,0.814,"(0.139, 0.278]"
1102,11224,0.201,0.7989999999999999,"(0.139, 0.278]"
1108,30458,0.053,0.947,"(0.036, 0.054]"
1127,959,0.981,0.019,"(0.278, 1.0]"
1131,94014,0.3229999999999999,0.677,"(0.278, 1.0]"
1133,7060,0.584,0.416,"(0.278, 1.0]"
1135,95307,0.613,0.387,"(0.278, 1.0]"
1136,55379,0.092,0.908,"(0.083, 0.139]"
1181,29579,0.046,0.954,"(0.036, 0.054]"
1193,33610,0.2019999999999999,0.798,"(0.139, 0.278]"
