ZIP,protected,not_protected,bin
8701,0.10300000000000001,0.897,"(0.083, 0.139]"
77494,0.248,0.752,"(0.139, 0.278]"
77449,0.485,0.515,"(0.278, 1.0]"
11368,0.7559999999999999,0.2440000000000001,"(0.278, 1.0]"
78660,0.37,0.63,"(0.278, 1.0]"
90011,0.9179999999999999,0.08200000000000007,"(0.278, 1.0]"
11385,0.466,0.534,"(0.278, 1.0]"
77084,0.444,0.556,"(0.278, 1.0]"
11208,0.406,0.594,"(0.278, 1.0]"
79936,0.872,0.128,"(0.278, 1.0]"
60629,0.736,0.264,"(0.278, 1.0]"
90650,0.69,0.31000000000000005,"(0.278, 1.0]"
77433,0.276,0.724,"(0.139, 0.278]"
91331,0.872,0.128,"(0.278, 1.0]"
11236,0.086,0.914,"(0.083, 0.139]"
10467,0.522,0.478,"(0.278, 1.0]"
37013,0.174,0.8260000000000001,"(0.139, 0.278]"
11373,0.426,0.5740000000000001,"(0.278, 1.0]"
94565,0.488,0.512,"(0.278, 1.0]"
90044,0.6679999999999999,0.3320000000000001,"(0.278, 1.0]"
11226,0.14800000000000002,0.852,"(0.139, 0.278]"
30044,0.318,0.6819999999999999,"(0.278, 1.0]"
92336,0.561,0.43899999999999995,"(0.278, 1.0]"
11207,0.344,0.656,"(0.278, 1.0]"
92335,0.846,0.15400000000000003,"(0.278, 1.0]"
10025,0.225,0.775,"(0.139, 0.278]"
90805,0.609,0.391,"(0.278, 1.0]"
90250,0.531,0.469,"(0.278, 1.0]"
90201,0.9390000000000001,0.06099999999999994,"(0.278, 1.0]"
75052,0.387,0.613,"(0.278, 1.0]"
11214,0.17300000000000001,0.827,"(0.139, 0.278]"
77573,0.17300000000000001,0.827,"(0.139, 0.278]"
60618,0.38299999999999995,0.617,"(0.278, 1.0]"
926,0.987,0.013000000000000012,"(0.278, 1.0]"
11234,0.091,0.909,"(0.083, 0.139]"
10314,0.151,0.849,"(0.139, 0.278]"
11220,0.39299999999999996,0.607,"(0.278, 1.0]"
90280,0.953,0.04700000000000004,"(0.278, 1.0]"
11219,0.124,0.876,"(0.083, 0.139]"
91342,0.752,0.248,"(0.278, 1.0]"
11230,0.109,0.891,"(0.083, 0.139]"
79938,0.8270000000000001,0.17299999999999993,"(0.278, 1.0]"
92683,0.242,0.758,"(0.139, 0.278]"
78245,0.637,0.363,"(0.278, 1.0]"
11206,0.36200000000000004,0.6379999999999999,"(0.278, 1.0]"
10456,0.578,0.42200000000000004,"(0.278, 1.0]"
92503,0.624,0.376,"(0.278, 1.0]"
77479,0.10300000000000001,0.897,"(0.083, 0.139]"
11221,0.324,0.6759999999999999,"(0.278, 1.0]"
77584,0.21899999999999997,0.781,"(0.139, 0.278]"
60639,0.746,0.254,"(0.278, 1.0]"
78521,0.968,0.03200000000000003,"(0.278, 1.0]"
91911,0.73,0.27,"(0.278, 1.0]"
30043,0.201,0.7989999999999999,"(0.139, 0.278]"
77429,0.22699999999999998,0.773,"(0.139, 0.278]"
93722,0.47600000000000003,0.524,"(0.278, 1.0]"
92345,0.6,0.4,"(0.278, 1.0]"
75217,0.7390000000000001,0.2609999999999999,"(0.278, 1.0]"
60632,0.826,0.17400000000000004,"(0.278, 1.0]"
93307,0.7959999999999999,0.20400000000000007,"(0.278, 1.0]"
92376,0.7809999999999999,0.21900000000000008,"(0.278, 1.0]"
10458,0.72,0.28,"(0.278, 1.0]"
92804,0.47100000000000003,0.5289999999999999,"(0.278, 1.0]"
78613,0.21100000000000002,0.7889999999999999,"(0.139, 0.278]"
95076,0.735,0.265,"(0.278, 1.0]"
11233,0.159,0.841,"(0.139, 0.278]"
60647,0.374,0.626,"(0.278, 1.0]"
11229,0.092,0.908,"(0.083, 0.139]"
11377,0.38799999999999996,0.6120000000000001,"(0.278, 1.0]"
92154,0.69,0.31000000000000005,"(0.278, 1.0]"
60804,0.877,0.123,"(0.278, 1.0]"
11235,0.09,0.91,"(0.083, 0.139]"
78542,0.948,0.052000000000000046,"(0.278, 1.0]"
78130,0.392,0.608,"(0.278, 1.0]"
94112,0.281,0.719,"(0.278, 1.0]"
60617,0.401,0.599,"(0.278, 1.0]"
93033,0.8540000000000001,0.1459999999999999,"(0.278, 1.0]"
99301,0.5379999999999999,0.4620000000000001,"(0.278, 1.0]"
78666,0.434,0.5660000000000001,"(0.278, 1.0]"
30024,0.064,0.9359999999999999,"(0.054, 0.083]"
60608,0.47200000000000003,0.528,"(0.278, 1.0]"
22193,0.32899999999999996,0.671,"(0.278, 1.0]"
11223,0.134,0.866,"(0.083, 0.139]"
95823,0.331,0.669,"(0.278, 1.0]"
37042,0.147,0.853,"(0.139, 0.278]"
93550,0.679,0.32099999999999995,"(0.278, 1.0]"
10468,0.7929999999999999,0.20700000000000007,"(0.278, 1.0]"
91710,0.584,0.41600000000000004,"(0.278, 1.0]"
11204,0.129,0.871,"(0.083, 0.139]"
77379,0.21600000000000003,0.784,"(0.139, 0.278]"
92592,0.264,0.736,"(0.139, 0.278]"
96706,0.147,0.853,"(0.139, 0.278]"
75035,0.125,0.875,"(0.083, 0.139]"
34787,0.21600000000000003,0.784,"(0.139, 0.278]"
78641,0.22399999999999998,0.776,"(0.139, 0.278]"
91744,0.794,0.20599999999999996,"(0.278, 1.0]"
11355,0.15,0.85,"(0.139, 0.278]"
73099,0.08199999999999999,0.918,"(0.054, 0.083]"
10453,0.691,0.30900000000000005,"(0.278, 1.0]"
30349,0.038,0.962,"(0.036, 0.054]"
92509,0.75,0.25,"(0.278, 1.0]"
60625,0.324,0.6759999999999999,"(0.278, 1.0]"
10452,0.677,0.32299999999999995,"(0.278, 1.0]"
95035,0.139,0.861,"(0.083, 0.139]"
94533,0.349,0.651,"(0.278, 1.0]"
92704,0.6940000000000001,0.30599999999999994,"(0.278, 1.0]"
93727,0.445,0.5549999999999999,"(0.278, 1.0]"
93535,0.531,0.469,"(0.278, 1.0]"
11203,0.067,0.933,"(0.054, 0.083]"
27610,0.177,0.823,"(0.139, 0.278]"
10457,0.6509999999999999,0.3490000000000001,"(0.278, 1.0]"
725,0.98,0.020000000000000018,"(0.278, 1.0]"
78577,0.948,0.052000000000000046,"(0.278, 1.0]"
90706,0.59,0.41000000000000003,"(0.278, 1.0]"
93257,0.685,0.31499999999999995,"(0.278, 1.0]"
10462,0.479,0.521,"(0.278, 1.0]"
79912,0.726,0.274,"(0.278, 1.0]"
93274,0.643,0.357,"(0.278, 1.0]"
28269,0.13699999999999998,0.863,"(0.083, 0.139]"
91709,0.273,0.727,"(0.139, 0.278]"
11212,0.17,0.83,"(0.139, 0.278]"
85142,0.212,0.788,"(0.139, 0.278]"
91335,0.532,0.46799999999999997,"(0.278, 1.0]"
92126,0.171,0.829,"(0.139, 0.278]"
27587,0.07,0.9299999999999999,"(0.054, 0.083]"
77459,0.113,0.887,"(0.083, 0.139]"
94544,0.441,0.5589999999999999,"(0.278, 1.0]"
77083,0.38799999999999996,0.6120000000000001,"(0.278, 1.0]"
10029,0.45799999999999996,0.542,"(0.278, 1.0]"
60634,0.409,0.591,"(0.278, 1.0]"
60623,0.667,0.33299999999999996,"(0.278, 1.0]"
23464,0.075,0.925,"(0.054, 0.083]"
76063,0.17300000000000001,0.827,"(0.139, 0.278]"
10002,0.259,0.741,"(0.139, 0.278]"
92563,0.316,0.6839999999999999,"(0.278, 1.0]"
28027,0.127,0.873,"(0.083, 0.139]"
78572,0.858,0.14200000000000002,"(0.278, 1.0]"
79928,0.907,0.09299999999999997,"(0.278, 1.0]"
11218,0.163,0.837,"(0.139, 0.278]"
91910,0.631,0.369,"(0.278, 1.0]"
11375,0.145,0.855,"(0.139, 0.278]"
66062,0.079,0.921,"(0.054, 0.083]"
10466,0.266,0.734,"(0.139, 0.278]"
98052,0.07,0.9299999999999999,"(0.054, 0.083]"
80013,0.239,0.761,"(0.139, 0.278]"
87121,0.8340000000000001,0.16599999999999993,"(0.278, 1.0]"
10469,0.28300000000000003,0.717,"(0.278, 1.0]"
75211,0.795,0.20499999999999996,"(0.278, 1.0]"
